Timestamp,X-Position,Y-Position,Z-Position,Heading Velocity,Descent Velocity,Pressure
2332,-0.000007,-0.000003,-0.000012,-0.001504,20.609664,1016.457641
2385,-0.000014,-0.000009,-0.000007,-0.002528,-7.926750,1016.448120
2436,-0.000016,-0.000013,-0.000017,-0.000541,2.642250,1016.451416
2491,-0.000016,-0.000018,-0.000018,0.000000,0.000000,1016.451416
2544,-0.000017,-0.000021,-0.000025,-0.000181,3.699112,1016.455871
2598,-0.000012,-0.000023,-0.000032,0.001628,0.000000,1016.455871
2653,-0.000020,-0.000023,-0.000042,-0.001702,-10.569001,1016.443298
2696,-0.000039,-0.000031,-0.000060,-0.003704,0.000000,1016.443298
2734,-0.000028,-0.000040,-0.000034,0.002202,5.284500,1016.449401
2771,-0.000027,-0.000050,-0.000050,0.000358,0.000000,1016.449401
2816,-0.000036,-0.000038,-0.000055,-0.003229,-8.983803,1016.438842
2852,-0.000049,-0.000045,-0.000059,-0.004471,0.000000,1016.438842
2890,-0.000046,-0.000045,-0.000051,0.000891,0.000000,1016.438842
2927,-0.000050,-0.000050,-0.000048,-0.001428,27.479743,1016.471740
2995,-0.000055,-0.000039,-0.000047,-0.001774,0.000000,1016.471740
3043,-0.000066,-0.000039,-0.000051,-0.003878,-12.682915,1016.456726
3095,-0.000064,-0.000027,-0.000051,0.000697,0.000000,1016.456726
3143,-0.000070,-0.000032,-0.000077,-0.002079,3.170776,1016.460327
3194,-0.000070,-0.000032,-0.000069,0.000000,0.000000,1016.460327
3233,-0.000076,-0.000031,-0.000095,-0.002277,17.967414,1016.482238
3273,-0.000057,-0.000035,-0.000107,0.006810,0.000000,1016.482238
3310,-0.000047,-0.000030,-0.000109,0.003307,-40.690994,1016.433349
3350,-0.000064,-0.000025,-0.000099,-0.005683,0.000000,1016.433349
3387,-0.000084,-0.000024,-0.000108,-0.007071,0.000000,1016.433349
3425,-0.000086,-0.000028,-0.000108,-0.000520,11.625863,1016.447326
3461,-0.000078,-0.000036,-0.000105,0.002803,0.000000,1016.447326
3497,-0.000088,-0.000025,-0.000100,-0.003531,19.552993,1016.470764
3535,-0.000111,-0.000046,-0.000119,-0.008391,0.000000,1016.470764
3573,-0.000093,-0.000037,-0.000119,0.006490,0.000000,1016.470764
3609,-0.000095,-0.000051,-0.000095,-0.000547,-10.569191,1016.457824
3652,-0.000089,-0.000058,-0.000088,0.002230,0.000000,1016.457824
3695,-0.000077,-0.000081,-0.000107,0.004569,4.227638,1016.462829
3733,-0.000105,-0.000088,-0.000089,-0.011013,0.000000,1016.462829
3771,-0.000097,-0.000078,-0.000124,0.003294,0.000000,1016.462829
3808,-0.000077,-0.000116,-0.000099,0.008273,-9.512139,1016.451232
3849,-0.000072,-0.000096,-0.000115,0.002449,0.000000,1016.451232
3886,-0.000068,-0.000116,-0.000123,0.001858,8.455277,1016.461730
3927,-0.000068,-0.000124,-0.000118,0.000000,0.000000,1016.461730
3962,-0.000084,-0.000108,-0.000130,-0.007901,0.000000,1016.461730
3999,-0.000083,-0.000117,-0.000131,0.000727,-11.097527,1016.448608
4036,-0.000104,-0.000116,-0.000104,-0.010226,0.000000,1016.448608
4074,-0.000107,-0.000122,-0.000126,-0.001482,6.341362,1016.456237
4111,-0.000094,-0.000143,-0.000136,0.006553,0.000000,1016.456237
4147,-0.000095,-0.000131,-0.000130,-0.000513,0.000000,1016.456237
4185,-0.000077,-0.000150,-0.000131,0.009457,9.512139,1016.467529
4229,-0.000069,-0.000158,-0.000136,0.004139,0.000000,1016.467529
4268,-0.000069,-0.000164,-0.000122,0.000000,0.000000,1016.467529
4304,-0.000066,-0.000177,-0.000137,0.002157,7.398415,1016.476257
4342,-0.000021,-0.000165,-0.000116,0.031457,0.000000,1016.476257
4378,-0.000073,-0.000173,-0.000142,-0.042114,-2.642250,1016.473449
4415,-0.000090,-0.000192,-0.000147,-0.014564,0.000000,1016.473449
4459,-0.000078,-0.000182,-0.000128,0.011311,0.000000,1016.473449
4498,-0.000048,-0.000164,-0.000124,0.029464,8.983803,1016.483886
4538,-0.000050,-0.000187,-0.000126,-0.001555,0.000000,1016.483886
4576,-0.000075,-0.000192,-0.000138,-0.027822,7.926750,1016.493408
4612,-0.000088,-0.000199,-0.000126,-0.014881,0.000000,1016.493408
4647,-0.000090,-0.000190,-0.000140,-0.001806,0.000000,1016.493408
4685,-0.000074,-0.000211,-0.000152,0.020524,-32.764244,1016.454223
4723,-0.000070,-0.000210,-0.000163,0.006129,0.000000,1016.454223
4760,-0.000087,-0.000215,-0.000176,-0.029750,11.097527,1016.467163
4802,-0.000096,-0.000229,-0.000189,-0.017966,0.000000,1016.467163
4840,-0.000079,-0.000227,-0.000199,0.042829,0.000000,1016.467163
4877,-0.000090,-0.000231,-0.000192,-0.033638,-3.170586,1016.463745
4913,-0.000097,-0.000213,-0.000176,-0.034389,0.000000,1016.463745
4948,-0.000098,-0.000223,-0.000177,-0.002958,0.000000,1016.453308
4986,-0.000100,-0.000213,-0.000194,-0.010788,-12.154580,1016.449035
5024,-0.000072,-0.000208,-0.000175,0.146713,0.000000,1016.449035
5060,-0.000073,-0.000207,-0.000169,-0.019645,4.756165,1016.454711
5101,-0.000113,-0.000211,-0.000178,0.426034,0.000000,1016.454711
5137,-0.000108,-0.000230,-0.000141,-0.032745,0.000000,1016.454711
5175,-0.000132,-0.000236,-0.000175,0.122262,15.325165,1016.473205
5212,-0.000131,-0.000239,-0.000184,-0.002351,0.000000,1016.473205
5248,-0.000133,-0.000229,-0.000192,0.005732,-30.121994,1016.437500
5285,-0.000144,-0.000250,-0.000175,0.041364,0.000000,1016.437500
5323,-0.000137,-0.000249,-0.000170,-0.026205,0.000000,1016.437500
5359,-0.000136,-0.000249,-0.000160,-0.004828,7.398415,1016.446044
5400,-0.000155,-0.000257,-0.000176,0.049114,0.000000,1016.446044
5437,-0.000156,-0.000247,-0.000176,0.003530,0.000000,1016.458190
5504,-0.000171,-0.000247,-0.000188,0.030272,6.869888,1016.453979
5539,-0.000178,-0.000240,-0.000201,0.012976,7.926941,1016.463439
5586,-0.000176,-0.000236,-0.000191,-0.003027,0.000000,1016.463439
5633,-0.000180,-0.000237,-0.000200,0.007422,0.000000,1016.463439
5678,-0.000189,-0.000226,-0.000198,0.012812,-7.398415,1016.454711
5718,-0.000215,-0.000230,-0.000171,0.034115,0.000000,1016.454711
5753,-0.000215,-0.000230,-0.000197,0.000000,-7.398415,1016.445678
5796,-0.000215,-0.000223,-0.000226,0.000000,0.000000,1016.445678
5834,-0.000217,-0.000215,-0.000189,0.002897,10.040665,1016.457946
5872,-0.000239,-0.000234,-0.000169,0.033433,0.000000,1016.457946
5909,-0.000240,-0.000220,-0.000188,0.000773,0.000000,1016.457946
5952,-0.000259,-0.000198,-0.000210,0.030372,22.723579,1016.485595
5990,-0.000224,-0.000219,-0.000186,-0.060406,0.000000,1016.485595
6055,-0.000250,-0.000229,-0.000191,0.040854,-2.642250,1016.482421
6108,-0.000229,-0.000220,-0.000176,-0.029662,0.000000,1016.482421
6161,-0.000240,-0.000192,-0.000184,0.016223,-11.626053,1016.468444
6210,-0.000242,-0.000222,-0.000187,0.002529,0.000000,1016.468444
6263,-0.000235,-0.000206,-0.000190,-0.012061,3.170776,1016.471862
6312,-0.000263,-0.000224,-0.000153,0.055895,0.000000,1016.471862
6362,-0.000267,-0.000222,-0.000156,0.008540,7.926750,1016.481384
6409,-0.000260,-0.000206,-0.000179,-0.017131,0.000000,1016.481384
6450,-0.000262,-0.000221,-0.000170,0.004048,-1.056862,1016.480468
6495,-0.000279,-0.000233,-0.000160,0.045236,0.000000,1016.480468
6536,-0.000289,-0.000224,-0.000196,0.026044,-12.682915,1016.464660
6586,-0.000272,-0.000241,-0.000166,-0.049301,0.000000,1016.464660
6626,-0.000275,-0.000256,-0.000166,0.009446,-1.056862,1016.463623
6670,-0.000273,-0.000272,-0.000175,-0.004895,0.000000,1016.463623
6706,-0.000293,-0.000254,-0.000152,0.045330,14.268303,1016.485595
